#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::05 - N1 Grammar::Recognition

彼の嫌がらせのなんのって、ひどいものだ。	かれのいやがらせのなんのって、ひどいものだ。	His harassment was terrible, I tell you.	のなんのって	noun + のなんのって	のなんのって: hyperbolic climax — harassment is SO bad, words fail to capture it	what a	grievance	[sound:4b5fc8986cab.mp3]	module:05-n1 jlpt:n1 point:のなんのって complexity:standard frequency:top5k source:shin-kanzen
その映画の面白さのなんのって！	そのえいがのおもしろさのなんのって！	How wonderful that movie was!	のなんのって	noun + のなんのって	のなんのって: exclamatory climax — the fun is SO intense it surpasses description	such a	entertainment	[sound:ea86cc0fa135.mp3]	module:05-n1 jlpt:n1 point:のなんのって complexity:standard frequency:top10k source:shin-kanzen
彼が犯人のではあるまいか。	かれがはんにんのではあるまいか。	Could he be the culprit?	のではあるまいか	noun + のではあるまいか	のではあるまいか: formal rhetorical speculation — 'could it not be that X?'	isn't it possible	doubt	[sound:c27ab9da686e.mp3]	module:05-n1 jlpt:n1 point:のなんのって complexity:standard frequency:top10k source:shin-kanzen
これが最後の機会のではあるまいか。	これがさいごのきかいのではあるまいか。	Isn't this our last chance?	のではあるまいか	noun + のではあるまいか	のではあるまいか: polite doubt voiced — speaker raises possibility cautiously	could this be	opportunity	[sound:e63b98750896.mp3]	module:05-n1 jlpt:n1 point:のなんのって complexity:standard frequency:top5k source:shin-kanzen
上司だと思いきや、後輩だった。	じょうしだとおもいきや、こうはいだった。	I thought he was a superior, but he turned out to be a junior.	とは思いきや	noun + とは思いきや	と思いきや: expectation reversal — appeared to be boss; was actually junior	thought...but	misidentification	[sound:dc6cb4ca3195.mp3]	module:05-n1 jlpt:n1 point:のなんのって complexity:standard frequency:top10k source:shin-kanzen
簡単だと思いきや、非常に難しかった。	かんたんだとおもいきや、ひじょうにむずかしかった。	I thought it was easy, but it turned out to be very difficult.	とは思いきや	adj + とは思いきや	と思いきや: difficulty reversal — seemed easy; revealed itself as very hard	seemed...but	difficulty	[sound:e83d086e7cd1.mp3]	module:05-n1 jlpt:n1 point:のなんのって complexity:standard frequency:top10k source:shin-kanzen
その映画の面白さのなんのって。	そのえいがのおもしろさのなんのって。	How wonderful that movie was!	のなんのって	のなんのって emphatic	のなんのって: superlative fun — amusement so great it exceeds verbal expression	such a	entertainment	[sound:cbbe7e76eb9e.mp3]	module:05-n1 jlpt:n1 point:のなんのって complexity:standard frequency:top10k source:shin-kanzen
彼の嫌がらせのなんのって。	かれのいやがらせのなんのって。	His harassment was terrible, I tell you.	のなんのって	Adj/V + の + なんのって (it was really ~! — emphatic exclamation)	のなんのって: complaint climax — harassment so intense it transcends description	what a	grievance	[sound:125bfa6de58a.mp3]	module:05-n1 jlpt:n1 point:のなんのって complexity:standard frequency:top5k source:shin-kanzen
その人気のなんのって。	そのにんきのなんのって。	His popularity is amazing!	のなんのって	Adj/V + の + なんのって (it was really ~! — emphatic exclamation)	のなんのって: popularity climax — so popular, the scale exceeds normal framing	how popular	popularity	[sound:25246e23e966.mp3]	module:05-n1 jlpt:n1 point:のなんのって complexity:intro frequency:top10k source:shin-kanzen
彼の成功ぶりのなんのって。	かれのせいこうぶりのなんのって。	His success is remarkable, I tell you.	のなんのって	Adj/V + の + なんのって (it was really ~! — emphatic exclamation)	のなんのって: success climax — so successful, the degree surpasses description	such success	achievement	[sound:94fe177b52c6.mp3]	module:05-n1 jlpt:n1 point:のなんのって complexity:standard frequency:top10k source:shin-kanzen
本当かどうかのではあるまいか。	ほんとうかどうかのではあるまいか。	Is it really true, I wonder?	のではあるまいか	のではあるまいか	のではあるまいか: uncertainty framing — 'might it not be the case that...?'	is it	truth	[sound:654c17cfcdf2.mp3]	module:05-n1 jlpt:n1 point:のなんのって complexity:standard frequency:top1k source:shin-kanzen
そんなことがあり得るのではあるまいか。	そんなことがありえるのではあるまいか。	Couldn't such a thing possibly happen?	のではあるまいか	のではあるまいか	のではあるまいか: rhetorical possibility — 'could such a thing really exist?'	isn't it possible	possibility	[sound:28722272a2a7.mp3]	module:05-n1 jlpt:n1 point:のなんのって complexity:standard frequency:top10k source:shin-kanzen
