#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#
#deck:Japanese Grammar (Strict)::00 - Foundation::Production

(hard) candy (heiban (0))	飴	あめ	飴	LH	[sound:bad670d2cb1b.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top1k source:curated-jpgram
Nose (heiban (0)).	鼻	はな	鼻	LH	[sound:8940dd82b056.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top1k source:curated-jpgram
To step on (heiban (0)).	踏む	ふむ	踏む	LH	[sound:cb853a3dc807.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top5k source:curated-jpgram
Mostly (heiban (0)).	大抵	たいてい	大抵	LHHH	[sound:314de1bca77e.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top5k source:curated-jpgram
Red (heiban (0)).	赤い	あかい	赤い	LHH	[sound:b9e5f9eea82a.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top1k source:curated-jpgram
To sound (heiban (0)).	鳴る	なる	鳴る	LH	[sound:45794015d5f3.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top5k source:curated-jpgram
To open (heiban (0)).	開く	あく	開く	LH	[sound:119daf93eeb9.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top1k source:curated-jpgram
To open (a door, etc.) (heiban (0)).	開ける	あける	開ける	LHH	[sound:8d2086f34297.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top1k source:curated-jpgram
To raise (heiban (0)).	上げる	あげる	上げる	LHH	[sound:0c5229f0adec.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top1k source:curated-jpgram
To grow hot (e.g. water) (heiban (0)).	沸く	わく	沸く	LH	[sound:6d1142468f08.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top5k source:curated-jpgram
Cartoon (heiban (0)).	漫画	まんが	漫画	LHH	[sound:6a0b30d36103.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top5k source:curated-jpgram
To play (games, sports) (heiban (0)).	遊ぶ	あすぶ	遊ぶ	LHH	[sound:4e0d1a774877.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top1k source:curated-jpgram
To be heard (heiban (0)).	聞こえる	きこえる	聞こえる	LHHH	[sound:d50309a25593.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top5k source:curated-jpgram
Thick (heiban (0)).	厚い	あつい	厚い	LHH	[sound:a102b13e22a5.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top1k source:curated-jpgram
Always (heiban (0)).	必ず	かならず	必ず	LHHH	[sound:bde673b44384.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top5k source:curated-jpgram
Barbershop (heiban (0)).	床屋	とこや	床屋	LHH	[sound:7f25a21ec2bf.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top5k source:curated-jpgram
Older sister (heiban (0)).	姉	あね	姉	LH	[sound:b1a3afebdb30.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top1k source:curated-jpgram
Exercise (heiban (0)).	運動	うんどう	運動	LHHH	[sound:d5d3ea280b3f.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top5k source:curated-jpgram
To cease (heiban (0)).	止む	やむ	止む	LH	[sound:6f0fc75b07e6.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top5k source:curated-jpgram
To dash over oneself (e.g. water) (heiban (0)).	浴びる	あびる	浴びる	LHH	[sound:fb2046cced43.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top1k source:curated-jpgram
Rain (atamadaka (1)).	雨	あめ	雨	HL	[sound:8995b8979971.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top1k source:curated-jpgram
Bridge (atamadaka (1)).	橋	きょう	橋	HL	[sound:2e824838874a.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top1k source:curated-jpgram
Chopsticks (atamadaka (1)).	箸	はし	箸	HL	[sound:692fc057a2cc.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top1k source:curated-jpgram
To meet (atamadaka (1)).	会う	あう	会う	HL	[sound:848921dea97e.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top1k source:curated-jpgram
Blue (atamadaka (1)).	青	あお	青	HL	[sound:845d1da87f89.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top1k source:curated-jpgram
Red (atamadaka (1)).	赤	あか	赤	HL	[sound:72776ab68f81.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top1k source:curated-jpgram
Time (atamadaka (1)).	秋	あき	秋	HL	[sound:8d8f4aeca850.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top1k source:curated-jpgram
Morning (atamadaka (1)).	朝	あさ	朝	HL	[sound:695aad811ab9.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top1k source:curated-jpgram
Opinion (atamadaka (1)).	意見	いけん	意見	HLL	[sound:a18d39bb05c6.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top5k source:curated-jpgram
Medicine (atamadaka (1)).	医学	いがく	医学	HLL	[sound:ef710fe9eab5.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top5k source:curated-jpgram
To break (atamadaka (1)).	折る	おる	折る	HL	[sound:34b78f606779.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer complexity:intro frequency:top5k source:curated-jpgram
