#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::03 - N3 Grammar::Production

It looks like it might rain.	雨が降りそうです。	あめがふりそうです。	雨が降りそうです。	V-stem + そうだ: visual inference — weather cues suggest imminent rain	[sound:df9c9cc3459d.mp3]	module:03-n3 jlpt:n3 register:neutral point:そうだ pos:expr frequency:top1k complexity:intro source:shin-kanzen sense:evidential-sou
The food looks delicious.	その食べ物が美味しそうです。	そのたべものがおいしそうです。	その食べ物が美味しそうです。	Adj-stem + そうだ: sensory appearance inference — looks delicious from sight	[sound:9b5d01e2e52b.mp3]	module:03-n3 jlpt:n3 register:neutral point:そうだ pos:expr frequency:low complexity:standard source:shin-kanzen sense:evidential-sou
I heard that she will come tomorrow.	彼女が明日来るそうです。	かのじょがあしたくるそうです。	彼女が明日来るそうです。	plain + そうだ: hearsay — speaker heard from third party, not first-hand	[sound:f986877ab589.mp3]	module:03-n3 jlpt:n3 register:neutral point:そうだ pos:expr frequency:top5k complexity:intro source:shin-kanzen sense:evidential-sou
The movie sounds interesting.	その映画が面白そうです。	そのえいががおもしろそうです。	その映画が面白そうです。	Adj-stem + そうだ: reputation/visual inference — looks interesting	[sound:eb4883919268.mp3]	module:03-n3 jlpt:n3 register:neutral point:そうだ pos:expr frequency:top10k complexity:intro source:shin-kanzen sense:evidential-sou
I heard that the exam will be difficult.	試験が難しいそうです。	しけんがむずかしいそうです。	試験が難しいそうです。	plain + そうだ: reported fact — someone told the speaker; not witnessed	[sound:8cd078db087e.mp3]	module:03-n3 jlpt:n3 register:neutral point:そうだ pos:expr frequency:top5k complexity:intro source:shin-kanzen sense:evidential-sou
It seems like it might snow.	雪が降りそうです。	ゆきがふりそうです。	雪が降りそうです。	V-stem + そうだ: meteorological inference — sky signals imminent snowfall	[sound:0bc202fea1c0.mp3]	module:03-n3 jlpt:n3 register:neutral point:そうだ pos:expr frequency:top1k complexity:intro source:shin-kanzen sense:evidential-sou
She looks tired.	彼女が疲れているそうです。	かのじょがつかれているそうです。	彼女が疲れているそうです。	plain + そうだ: hearsay — another person reported her state	[sound:c7363b70952e.mp3]	module:03-n3 jlpt:n3 register:neutral point:そうだ pos:expr frequency:top10k complexity:standard source:shin-kanzen sense:evidential-sou
The cake looks sweet.	そのケーキが甘そうです。	そのけーきがあまそうです。	そのケーキが甘そうです。	Adj-stem + そうだ: appearance inference — cake looks sweet from visual cues	[sound:9cbb8c299b92.mp3]	module:03-n3 jlpt:n3 register:neutral point:そうだ pos:expr frequency:top5k complexity:intro source:shin-kanzen sense:evidential-sou
I heard that the restaurant is closed.	そのレストランが閉まっているそうです。	そのれすとらんがしまっているそうです。	そのレストランが閉まっているそうです。	plain + そうだ: reported state — heard the restaurant is closed; not witnessed	[sound:58dedfa31431.mp3]	module:03-n3 jlpt:n3 register:neutral point:そうだ pos:expr frequency:low complexity:standard source:shin-kanzen sense:evidential-sou
The coffee smells good.	そのコーヒーが美味しそうです。	そのこーひーがおいしそうです。	そのコーヒーが美味しそうです。	Adj-stem + そうだ: sensory appeal — looks/smells good from immediate impression	[sound:7e699a086ac4.mp3]	module:03-n3 jlpt:n3 register:neutral point:そうだ pos:expr frequency:low complexity:standard source:shin-kanzen sense:evidential-sou
